Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,FE,0,0,0,0,18540000000.0,39180000000.0,20.34,12.98,-2.33,1.71,2.66,3.61,12.51,8.41,16.93,2.79,13.11,10840000000.0,20.27,-1.2,7690000000.0,3130000000.0,900000000.0,1.68,,627000000.0,1.16,21270000000.0,304.96,0.5,12.9,2470000000.0,-36880000.0,0.44,46.89,47.7,4210000.0,540310000.0,538840000.0,0.72,0.0,6020000.0,1.56,1.61,7020000.0
0,0,BXP,0,0,0,0,12720000000.0,26840000000.0,24.85,20.2,4.48,4.35,2.31,9.17,15.78,17.82,35.28,3.11,8.03,2930000000.0,18.94,0.9,1840000000.0,1700000000.0,511030000.0,3.3,-5.1,644950000.0,4.16,12240000000.0,152.68,3.05,35.43,1180000000.0,1170000000.0,1.0,130.97,133.74,1690000.0,154620000.0,154790000.0,0.15,99.11,2270000.0,3.09,,2110000.0
0,0,UNP,0,0,0,0,81340000000.0,107480000000.0,14.06,11.46,1.44,3.75,4.5,4.95,9.92,27.27,39.69,8.91,30.71,21710000000.0,30.86,-9.5,11890000000.0,10830000000.0,5920000000.0,8.38,-9.7,891000000.0,1.29,27030000000.0,149.12,0.8,26.19,8610000000.0,3420000000.0,1.1,162.35,169.62,4120000.0,690260000.0,688860000.0,0.13,82.17,11190000.0,3.25,1.57,6680000.0
0,0,KMI,0,0,0,0,27970000000.0,62690000000.0,12.84,12.73,-2.55,2.12,0.83,4.75,10.0,16.58,29.2,3.15,6.39,13210000000.0,5.83,-11.3,7360000000.0,6270000000.0,2180000000.0,0.96,23.5,1160000000.0,0.51,34720000000.0,99.52,0.63,14.9,4750000000.0,281000000.0,0.82,18.86,20.09,17630000.0,2260000000.0,1940000000.0,13.75,64.11,33100000.0,2.26,1.7,39080000.0
0,0,AN,0,0,0,0,2370000000.0,8350000000.0,5.33,5.42,1.86,0.11,0.75,0.39,8.68,2.11,3.67,4.61,15.34,21340000000.0,236.8,2.5,3520000000.0,963000000.0,450800000.0,4.97,70.1,42000000.0,0.47,6030000000.0,190.57,0.87,35.39,769200000.0,721370000.0,0.95,41.15,47.45,1380000.0,89470000.0,60890000.0,11.73,87.81,5290000.0,6.25,,6270000.0
0,0,FLWS,0,0,0,0,805640000.0,680070000.0,19.58,18.16,1.11,0.62,2.02,0.52,8.23,3.25,4.07,4.38,11.19,1300000000.0,20.19,6.0,526120000.0,82620000.0,42340000.0,0.64,8.1,295560000.0,4.6,169990000.0,42.4,1.9,6.2,100670000.0,55950000.0,0.78,16.32,14.56,35750000.0,35750000.0,24080000.0,30.04,71.52,3170000.0,4.01,13.61,2700000.0
0,0,COST,0,0,0,0,128240000000.00002,128690000000.0,34.09,30.9,4.74,0.81,7.72,0.81,19.86,2.39,3.1,6.7,24.56,158350000000.0,359.19,10.4,19820000000.0,6480000000.0,3780000000.0,8.52,4.7,8710000000.0,19.74,8780000000.0,51.62,1.04,37.62,7120000000.0,3020000000.0,0.92,307.29,299.72,2970000.0,441580000.0,439020000.0,0.23,71.71,5070000.0,2.34,1.15,4280000.0
0,0,ORLY,0,0,0,0,19760000000.0,25580000000.0,14.75,12.35,1.41,1.95,50.19,2.52,11.66,13.71,18.94,12.85,370.45,10150000000.0,131.84,7.3,5390000000.0,2190000000.0,1390000000.0,17.88,8.2,40410000.0,0.54,5860000000.0,1475.28,0.86,5.26,1710000000.0,760690000.0,0.71,371.12,410.3,1160000.0,75620000.0,73630000.0,1.73,87.37,1100000.0,1.15,1.43,
0,0,CBG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,R,0,0,0,0,1380000000.0,9480000000.0,,7.92,-1.55,0.15,0.57,1.06,4.37,-0.27,5.68,2.28,-0.93,8930000000.0,170.51,0.7,1590000000.0,2170000000.0,-23730000.0,-0.47,,73580000.0,1.38,8150000000.0,329.05,0.6,46.48,2140000000.0000002,-1510000000.0,1.86,38.89,48.87,1230000.0,52220000.0,52380000.0,2.77,91.67,3270000.0,2.94,,2550000.0
0,0,TMK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NWL,0,0,0,0,4840000000.0,10920000000.0,45.32,7.01,2.93,0.5,0.97,1.12,8.61,1.1,8.47,3.08,3.63,9710000000.0,22.95,-3.8,3240000000.0,1270000000.0,186100000.0,0.25,332.6,348600000.0,0.82,6400000000.0,128.05,1.38,11.72,1040000000.0,1780000000.0,1.17,16.67,18.48,4110000.0000000005,423400000.0,419560000.0,0.89,90.46,20150000.0,4.88,4.79,23690000.0
0,0,GILD,0,0,0,0,92570000000.0,93350000000.0,17.36,11.46,42.65,4.12,4.12,4.16,14.38,23.99,22.66,5.07,24.28,22450000000.0,17.68,1.4,17770000000.0,6490000000.0,5390000000.0,4.22,89766.7,24670000000.0,19.52,25320000000.0,111.78,3.1,17.79,9140000000.0,2340000000.0,0.99,70.98,66.49,18460000.0,1260000000.0,1260000000.0,0.54,84.55,23760000.0,1.12,1.86,20590000.0
0,0,BLL,0,0,0,0,17880000000.0,24210000000.0,33.07,16.34,1.82,1.56,6.04,2.11,13.06,4.93,10.25,4.33,16.29,11470000000.0,34.65,-3.0,2270000000.0,1850000000.0,566000000.0,1.66,6.0,1800000000.0,5.52,8060000000.000001,266.84,0.88,9.08,1550000000.0,949880000.0,0.54,72.67,70.13,2550000.0,325780000.0,323030000.0,0.64,84.79,7140000.0,2.84,2.8,7640000.0
0,0,NFLX,0,0,0,0,146050000000.0,157400000000.0,80.59,39.67,1.21,7.25,19.26,7.81,58.13,9.26,12.92,5.43,29.12,20160000000.0,46.04,30.6,7720000000.0,2710000000.0,1870000000.0,4.13,338.3,5020000000.0,11.44,16370000000.000002,215.93,0.9,17.28,-2890000000.0,15630000000.0,1.23,361.06,316.7,7270000.0,438810000.0,432680000.0,1.62,82.99,19040000.0,3.15,4.47,19100000.0
0,0,AET,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,FLR,0,0,0,0,789180000.0,1020000000.0,,3.78,-0.57,0.04,0.51,0.05,-8.58,-7.05,-1.69,-2.3,-51.25,18520000000.0,132.23,2.5,669920000.0,-119110000.0,-1270000000.0,-9.32,,1850000000.0,13.22,1960000000.0,116.48,1.38,11.12,240350000.0,114340000.0,2.58,12.33,17.15,3380000.0,140170000.0,129530000.0,0.85,92.79,10440000.0,2.64,8.4,9570000.0
0,0,TROW,0,0,0,0,21320000000.0,20810000000.0,10.38,10.82,1.59,3.8,2.99,3.7,8.07,37.94,42.49,17.53,29.81,5620000000.0,23.86,12.5,3230000000.0,2580000000.0,2080000000.0,8.7,55.0,1780000000.0,7.55,146300000.0,1.78,2.59,30.19,1520000000.0,1710000000.0,1.06,123.61,120.81,1590000.0,235560000.0,228630000.0,2.83,72.06,5520000.0,4.13,,5680000.0
0,0,MMC,0,0,0,0,40250000000.0,53470000000.0,23.42,14.16,1.85,2.42,5.16,3.21,13.2,10.46,20.43,8.03,22.84,16649999999.999998,32.91,14.9,7340000000.0,4050000000.0,1740000000.0,3.41,155.6,1160000000.0,2.29,14220000000.0,179.08,1.06,15.47,2360000000.0,2060000000.0,0.72,107.22,105.77,2230000.0,503900000.0,502560000.0,0.19,91.39,5250000.0,2.87,1.04,5550000.0
0,0,SFLY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CTSH,0,0,0,0,24190000000.0,22480000000.0,13.4,10.0,1.63,1.44,2.19,1.34,6.83,10.98,16.61,10.87,16.41,16780000000.000002,30.02,3.8,6150000000.0,3290000000.0,1840000000.0,3.29,-39.0,3420000000.0,6.24,1710000000.0,15.52,2.55,20.11,2500000000.0,2020000000.0,0.89,60.94,61.7,4070000.0000000005,547570000.0,546790000.0,0.24,93.49,10220000.0,2.43,1.8,12550000.0
0,0,CINF,0,0,0,0,12170000000.0,12320000000.0,6.2,18.48,-5.88,1.54,1.24,1.55,4.75,25.2,31.87,6.67,22.57,7920000000.0,48.55,203.1,2630000000.0,2600000000.0,2000000000.0,12.1,,767000000.0,4.72,885000000.0,8.97,0.7,60.55,1210000000.0,3730000000.0,0.67,101.11,107.39,1410000.0,162250000.0,158390000.0,6.62,65.36,2049999.9999999998,2.6,1.53,2260000.0
0,0,MA,0,0,0,0,212500000000.0,214210000000.0,26.63,19.95,1.72,12.59,36.13,12.69,21.02,48.08,57.26,22.34,141.43,16879999999.999998,16.6,15.9,16879999999.999998,10190000000.0,8119999999.999999,7.94,133.6,7680000000.0,7.64,9290000000.0,155.05,1.42,5.85,8180000000.0,6460000000.0,0.99,298.31,289.98,5640000.0,997450000.0,992790000.0,11.29,77.93,6740000.0,1.26,0.75,7090000.0
0,0,TDC,0,0,0,0,2150000000.0,3950000000.0,,17.32,1.26,1.01,8.77,1.86,30.58,1.27,2.21,1.27,4.86,2130000000.0,18.0,-7.5,1030000000.0,129000000.0,27000000.0,0.22,,723000000.0,6.17,633000000.0,135.55,1.42,3.99,229000000.0,77120000.0,1.24,21.68,26.68,1480000.0,117100000.0,115690000.0,0.01,26.7,13000000.0,11.98,14.77,12360000.0
0,0,JEC,0,0,0,0,11440000000.0,,14.09,,,,,,,,,,,,,,2480000000.0,,,,,,,,,,,,,,90.03,91.75,1620000.0,,,,,,,,
0,0,BMS,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,MGM,0,0,0,0,4490000000.0,22740000000.0,2.35,7.72,-1.48,0.36,0.59,1.83,8.35,16.44,11.38,2.77,18.98,12460000000.0,23.78,4.7,5300000000.0,2720000000.0,2049999999.9999998,3.88,,2330000000.0,4.73,15540000000.0,121.73,1.26,15.36,1810000000.0,559000000.0,1.58,24.53,29.0,13150000.0,503150000.0,488790000.0,0.76,88.24,24280000.0,2.71,4.68,10910000.0
0,0,IBM,0,0,0,0,84750000000.0,144060000000.0,9.03,6.76,1.06,1.1,4.06,1.87,8.55,12.23,13.98,4.89,49.77,77150000000.0,86.95,0.1,36490000000.0,16840000000.0,9430000000.0,10.57,88.1,8870000000.0,10.0,68160000000.0,324.79,1.02,23.49,14770000000.0,16829999999.999998,1.31,134.26,136.63,6330000.0,888410000.0,885820000.0,0.1,58.87,18670000.0,2.89,2.1,16620000.000000002
0,0,MET,0,0,0,0,22330000000.0,94570000000.0,4.02,3.76,1.23,0.32,0.34,1.36,11.5,8.47,11.28,0.69,9.9,69620000000.0,74.25,9.5,20480000000.0,8220000000.000001,5720000000.0,6.06,-71.3,27150000000.0,29.65,99160000000.0,149.38,1.06,72.26,13790000000.0,5840000000.0,1.12,43.15,47.28,7200000.0,915300000.0,774290000.0,62.09,0.0,14480000.0,2.2,1.8,14450000.0
0,0,WAT,0,0,0,0,10780000000.0,12220000000.0,19.96,17.04,2.54,4.48,,5.08,14.86,24.61,29.79,14.26,87.67,2410000000.0,35.59,0.2,1400000000.0,822090000.0,592200000.0,8.69,8.4,337140000.0,5.42,1780000000.0,,2.22,-3.46,643090000.0,365300000.0,1.19,203.61,218.85,62160000.0,62160000.0,61830000.0,0.54,103.46,4700000.0,8.26,7.51,5510000.0
0,0,WMB,0,0,0,0,13980000000.0,57840000000.0,16.52,10.29,2.91,1.62,1.05,6.69,15.52,-1.29,23.3,2.71,0.87,8650000000.0,8.09,-1.6,4330000000.0,3730000000.0,-114000000.0,0.7,28.3,43000000.0,0.04,23500000000.0,149.45,0.31,11.0,3370000000.0,-646370000.0,1.46,18.46,22.03,14790000.0,1210000000.0,1210000000.0,0.13,91.82,22910000.0,3.32,2.13,24460000.0
0,0,K,0,0,0,0,19110000000.0,27740000000.0,19.93,13.99,6.99,1.41,6.94,2.04,12.78,7.07,12.42,5.96,30.19,13580000000.0,39.82,-2.8,4430000000.0,2170000000.0,960000000.0,2.8,,404000000.0,1.18,8480000000.0,255.94,0.72,8.04,1180000000.0,738250000.0,0.68,64.46,65.09,2310000.0,342500000.0,277670000.0,0.67,90.82,12320000.0,4.88,4.51,14000000.0
0,0,DLTR,0,0,0,0,17980000000.0,27470000000.0,21.89,13.69,1.52,0.76,2.87,1.16,12.27,3.5,6.75,6.02,13.9,23610000000.0,99.54,1.8,7040000000.0,2240000000.0,827000000.0,3.47,,539200000.0,2.28,10030000000.0,160.37,1.2,26.42,1870000000.0,636030000.0,0.44,83.86,98.35,3270000.0,236660000.0,233500000.0,1.45,96.83,4139999.9999999995,1.89,1.97,5250000.0
0,0,NRG,0,0,0,0,5840000000.0,12790000000.0,1.39,5.18,0.22,0.59,3.5,1.3,7.01,45.19,13.35,7.08,1779.7,9820000000.0,37.49,10.2,2520000000.0,1820000000.0,4120000000.0,16.81,,345000000.0,1.39,6450000000.0,384.21,1.31,6.66,1410000000.0,1050000000.0,0.83,34.1,37.78,2920000.0,250540000.0,246040000.0,0.7,97.89,8289999.999999999,3.25,3.41,7140000.0
0,0,TM,0,0,0,0,163710000000.0,161880000000.0,7.12,,,,0.94,,,8.08,0.0,3.09,12.56,,,-3.3,,,,16.36,307.9,,,,102.44,1.06,123.5,,,0.89,131.6,137.23,1410000000.0,1410000000.0,1220000000.0,0.0,0.92,2.76,2.76,,3.59
0,0,MNST,0,0,0,0,27960000000.0,26670000000.0,25.67,20.59,2.44,6.66,6.7,6.35,18.03,26.37,33.67,18.27,28.47,4200000000.0,7.75,10.1,2520000000.0,1480000000.0,1110000000.0,2.03,6.6,1330000000.0,2.48,29950000.0,0.72,3.5,7.77,1110000000.0,818040000.0,1.08,65.23,61.3,3760000.0,536700000.00000006,389130000.0,9.9,67.5,7380000.0,2.18,1.89,9230000.0
0,0,SHW,0,0,0,0,37890000000.0,45100000000.0,25.03,16.01,1.94,2.12,8.38,2.52,15.24,8.61,13.32,7.52,39.25,17900000000.0,194.99,1.2,8039999999.999999,2960000000.0,1540000000.0,16.49,146.3,161800000.0,1.93,10430000000.0,252.89,1.02,49.26,2320000000.0,1310000000.0,1.27,537.18,559.48,1390000.0,91800000.0,75010000.0,10.59,80.74,1170000.0,1.89,1.41,1190000.0
